latitude,longitude,city,country
52.367,4.904,Amsterdam,Netherlands
39.933,32.859,Ankara,Turkey
56.134,12.945,Åstorp,Sweden
37.983,23.727,Athens,Greece
54.597,-5.930,Belfast,Northern Ireland
41.387,2.168,Barcelona,Spain
52.520,13.405,Berlin,Germany
46.948,7.447,Bern,Switzerland
43.263,-2.935,Bilbao,Spain
50.847,4.357,Brussels,Belgium
47.497,19.040,Bucharest,Romania
59.329,18.068,Budapest,Hungary
51.483,-3.168,Cardiff,Wales
50.937,6.96,Cologne,Germany
55.676,12.568,Copenhagen,Denmark
51.898,-8.475,Cork,Ireland
53.349,-6.260,Dublin,Ireland
55.953,-3.188,Edinburgh,Scotland
43.7696,11.255,Florence,Italy
50.110,8.682,Frankfurt,Germany        
43.254,6.637,French Riviera,France
32.650,-16.908,Funchal,Portugual
36.140,-5.353,Gibraltar
57.708,11.974,Gothenburg,Sweden     
53.548,9.987,Hamburg,Germany
60.169,24.938,Helsinki,Finland
39.020,1.482,Ibiza,Spain
50.450,30.523,Kyiv,Ukraine
61.115,10.466,Lillehammer,Norway
38.722,-9.139,Lisbon,Portugual
51.507,-0.127,London,England      
40.416,-3.703,Madrid,Spain
39.695,3.017,Mallorca,Spain
53.480,-2.242,Manchester,England       
43.296,5.369,Marseille,France
27.760,-15.586,Maspalomas,Spain
45.464,9.190,Milan,Italy
48.135,11.582,Munich,Germany
40.851,14.268,Naples,Italy
43.034,-2.417,Oñati,Spain
59.913,10.752,Oslo,Norway
48.856,2.352,Paris,France
50.075,14.437,Prague,Czech Republic
64.146,-21.942,Reykjavík,Iceland
56.879,24.603,Riga,Latvia
41.902,12.496,Rome,Italy
39.453,-31.127,Santa Cruz das Flores,Portugual
28.463,-16.251,Santa Cruz de Tenerife,Spain
57.273,-6.215,Skye,Scotland
42.697,23.321,Sofia,Bulgaria
59.329,18.068,Stockholm,Sweden
59.437,24.753,Tallinn,Estonia
18.208,16.373,Vienna,Austria
52.229,21.012,Warsaw,Poland
53.961,-1.07,York,England
47.376,8.541,Zurich,Switzerland
23.332,86.361,Purulia,India
18.5204,73.8567,Mumbai,India
28.6139,77.2090,Delhi,India
12.9716,77.5946,Bangalore,India
17.3850,78.4867,Hyderabad,India
13.0827,80.2707,Chennai,India
22.5726,88.3639,Kolkata,India
26.9124,75.7873,Jaipur,India
23.2599,77.4126,Bhopal,India
23.0225,72.5714,Ahmedabad,India
26.8467,80.9462,Lucknow,India
22.7196,75.8577,Indore,India
30.7333,76.7794,Chandigarh,India
30.3165,78.0322,Dehradun,India
26.4499,80.3319,Kanpur,India
26.2006,92.9376,Guwahati,India
25.5941,85.1376,Patna,India
23.6102,85.2799,Ranchi,India
26.4499,74.6399,Udaipur,India
26.4499,74.6399,Jodhpur,India
26.4499,74.6399,Bikaner,India
26.4499,74.6399,Ajmer,India
26.4499,74.6399,Alwar,India
26.4499,74.6399,Bhilwara,India
26.4499,74.6399,Chittorgarh,India
26.4499,74.6399,Sikar,India
26.4499,74.6399,Beawar,India
26.4499,74.6399,Pali,India
26.4499,74.6399,Kota,India
26.4499,74.6399,Nagaur,India
26.4499,74.6399,Churu,India
26.4499,74.6399,Baran,India
26.4499,74.6399,Jhunjhunu,India
26.4499,74.6399,Jhalawar,India
26.4499,74.6399,Bharatpur,India
26.4499,74.6399,Dausa,India
26.4499,74.6399,Tonk,India
26.4499,74.6399,Sawai Madhopur,India
26.4499,74.6399,Barmer,India
26.4499,74.6399,Dhaulpur,India
26.4499,74.6399,Rajsamand,India
26.4499,74.6399,Bundi,India
26.4499,74.6399,Banswara,India
26.4499,74.6399,Dungarpur,India
26.4499,74.6399,Pratapgarh,India
26.4499,74.6399,Jaisalmer,India
26.4499,74.6399,Jalore,India
26.4499,74.6399,Sirohi,India
26.4499,74.6399,Pratapgarh,India

